stimulus,1223_2636,1224_2642,1228_2674,1229_2683,1230_2680,1238_2578,1241_2583,1242_2582,1243_2580,1247_2590,1248_2587,1251_2589,1253_2592,1256_2601,1257_2600,1258_2598,1263_2603,1264_2602,1265_2605,1272_2607,1275_2613,1276_2612,1277_2616,1278_2617,1280_2620,1283_2634,1285_2635,1286_2632,1287_2633,1288_2640,1291_2643,1293_2639,1294_2646,1297_2676,1298_2645,1300_2649,1303_2653,1304_2655,1307_2659,1308_2658,1312_2663,1317_2661,1318_2662,1319_2665,1320_2666,1321_2672,1322_2673,1324_2682,1327_2687,1329_2685,1334_2692,1335_2691,1337_2698,1338_2697,1342_2703,1343_2704,1347_2710,1349_2712,1350_2716,1354_2719,1355_2718,1364_2747,1366_2753,1373_2764,1374_2754,1383_2744,1387_2758,1389_2768,1390_2767,1391_2773,200_2596,376_2701,390_2678,411_2614,418_2668,419_2715,425_2763,436_2714,454_2721,457_2604,471_2675,486_2679,500_2594,503_2618,505_2772,524_2599,551_2700,552_2722,582_2766,586_2667,587_2695,596_2591,603_2708,609_2689,617_2702,630_2706,643_2574,646_2595,651_2575,678_2684,700_2693,710_2709,724_2774,779_2621,864_2677,mean
1178c0a95b,31.1841,,29.7321,,,27.0401,39.5456,,,29.9775,37.2140,,,,,32.2805,,,,,,43.6456,,,,,,26.7889,50.5255,25.5407,29.8352,,,,,,,38.1368,,46.1644,,28.8163,,,23.3828,52.2015,31.8105,46.0484,,,,18.7528,,,,,30.1869,27.4108,,59.1817,33.4252,229.5080,,,34.4601,,37.8994,,,,,,110.9304,34.6014,127.8817,36.0380,25.8482,,23.7008,,,39.5877,37.2104,,,31.1582,,,45.8739,46.3266,,52.5595,,,,,46.1126,34.2226,44.1241,,57.8909,,,,265.1580,49.9982
124e9b960e,,33.9900,,84.7873,28.2000,,67.3713,,67.1932,246.3737,,144.0076,,,95.0921,70.0985,55.4205,,102.1068,53.0526,43.5890,45.3163,,27.1504,75.8020,,,43.3590,107.8636,93.3302,116.3373,100.4241,42.8174,44.1942,95.4376,46.7822,69.7799,116.1381,33.5530,138.6843,,42.6354,28.2243,65.5944,36.4005,225.8392,182.8678,,,26.3312,98.0858,26.5226,173.0662,160.9570,72.8727,29.1548,28.5212,52.3382,50.1175,108.7071,115.3125,187.8337,52.9802,39.5059,,,,,118.2008,55.9220,56.1414,73.4372,350.3847,143.5554,186.5420,54.2733,,,96.5401,186.6548,86.4196,,45.2309,211.4730,105.6151,44.1210,91.9453,241.4928,106.6470,,96.8184,142.4948,94.1488,71.0078,,,76.3607,96.0035,159.9342,56.9663,148.3972,66.8212,64.8931,114.8063,,94.1921
127211c9e9,,34.0955,,35.5699,26.7029,,,32.5204,43.5007,,,32.9421,119.9166,39.5601,38.2821,,50.0000,113.8825,52.3211,25.3640,37.5436,,25.2982,21.2132,34.2783,83.9872,23.8747,,,,,153.3243,21.8763,22.2004,22.6569,36.1544,18.1659,,22.2159,,29.6086,,20.5688,35.3553,,,,,84.3842,29.1204,22.4621,,59.6418,104.2233,26.4575,11.2459,,,26.2996,,,,25.4058,19.3907,,38.9518,,30.8221,35.5065,50.7937,22.9810,42.2577,,,,,,16.9312,,77.6660,35.8070,,,67.5176,39.1725,,102.6025,44.8107,,,122.6105,,40.0000,57.2519,96.9067,3671.7473,,,,21.2867,,52.2813,45.8777,52.0724,,105.3683
14631b3756,35.2964,,28.5482,,,36.3036,23.6643,,,27.7350,32.8492,,,,,44.2445,,,,,,24.5459,,,,,,31.3894,141.0996,36.3381,28.2365,,,,,,,30.4380,,18.4089,,25.4460,,,20.3026,51.3599,39.3989,38.7913,,,,12.3131,,,,,23.6849,30.0876,,38.6465,29.8408,522.2620,,,28.1231,,89.1302,,,,,,105.2480,44.4182,68.1353,54.0655,19.0904,,29.8861,,,54.4949,32.7872,,,32.4037,,,59.9510,77.4435,,55.4474,,,,,42.1038,33.9316,92.1502,,82.2909,,,,279.3429,60.2653
1a52569c96,26.3818,27.5241,32.6061,48.7266,32.1760,35.0917,16.4845,20.3101,81.7343,39.4053,36.9904,24.9323,19.3649,44.2800,79.9687,31.0623,37.6685,33.1303,60.1752,24.0567,36.5148,27.3861,,29.7799,48.3137,189.2360,27.6607,28.9334,15.4724,,24.5531,40.2492,21.8345,15.6670,26.6667,27.9652,23.9444,35.7601,18.1600,22.2884,54.7723,24.4949,19.8016,18.4226,22.2288,75.1480,36.3856,,63.2832,30.3582,33.4664,21.4476,42.3238,73.3144,,33.3431,37.8594,31.3377,23.4273,36.6260,44.0779,266.2409,31.5733,22.5948,28.1859,25.6905,255.2104,35.0510,59.1819,,32.2933,57.3585,173.4375,43.2677,79.3135,52.6235,26.3734,32.6599,18.5252,126.7731,48.9898,87.2872,36.3318,53.3854,52.4404,29.5262,73.6206,26.2902,50.7445,64.1483,50.7315,58.3299,26.6327,75.9323,219.8462,403.2134,58.5391,37.9655,18.7867,19.7139,30.9435,30.1768,31.2517,63.7832,177.7873,53.2733
1a960b7bad,,,,50.2217,,,,,32.9502,,,50.7752,,,,53.6579,29.0659,78.8911,23.7309,,25.1085,21.2132,22.3607,,,,26.8652,23.0217,33.6452,25.9119,29.8807,,23.6039,,20.7223,24.7052,17.7591,,,21.7945,28.4495,24.5875,,18.3973,22.9416,,37.3609,,27.1069,25.6728,24.4949,17.7012,78.8170,53.3073,,,35.3553,21.5407,17.0139,59.9537,31.4694,138.4197,37.9144,,,22.4245,,43.2225,,,,,101.5148,,32.6803,29.3939,,20.4124,21.2568,142.4596,52.5991,,43.8273,,,34.7371,,,38.5777,68.8076,54.1010,45.7395,,32.3669,97.3472,,44.6654,,,17.5058,,,53.8837,,383.4927,46.0577
1b014b9af7,25.6760,30.9377,44.0643,43.2801,32.3849,35.3946,17.7951,31.4529,86.3525,69.4022,29.6273,24.4949,39.2792,44.6681,95.4834,31.9801,30.6343,84.4946,63.3208,19.2209,40.6626,29.1464,20.8167,18.0685,40.2011,77.0498,32.4037,26.7706,74.5941,81.6552,38.6250,41.5245,27.3944,21.0442,33.1047,35.0609,30.0314,30.1662,21.8282,87.3633,35.1918,23.2443,18.6425,25.3546,22.4465,75.6110,55.7973,48.7228,55.3888,28.5100,24.5690,14.9212,92.2118,50.3536,,20.1778,25.6348,19.4365,24.4949,35.8264,43.6629,607.4372,42.9520,17.7705,30.2962,20.6761,85.1836,35.8469,38.6005,,34.9725,57.4121,78.6581,31.0316,63.6396,29.1316,19.8206,39.4380,23.0682,122.4212,75.6787,33.8590,68.7127,86.6802,31.8689,44.3229,73.7757,37.1587,54.3395,50.2922,146.3081,49.1426,26.2467,76.8982,95.5306,738.3974,63.5947,50.4975,54.4154,,80.3580,31.8377,38.7298,56.0082,202.8752,59.5445
1b2b9e962c,17.4356,,26.3579,,,33.1662,16.0728,,,40.5586,36.7747,,,,,28.4697,,,,,,17.7281,,,,,,28.5945,37.5943,30.8957,21.4735,,,,,,,24.0098,,26.4575,,33.3916,,,18.5164,45.0146,39.8366,,,,,10.6458,,,,,25.0998,23.2140,,31.5508,29.7719,42.8403,,,32.1926,,128.0980,,,,,,101.6530,41.2916,49.9473,25.3546,26.8483,,42.7785,,,44.2481,38.9055,,,35.5121,,,46.2092,78.7978,,52.2813,,,,,26.5361,31.3581,83.5464,,40.9607,,,,281.0270,44.0237
1d454ac0d1,,33.9116,,44.7214,32.7872,,,20.0000,34.2345,,,52.8800,40.4304,72.6201,50.6035,,31.8562,88.6607,40.9390,45.3872,30.9377,,17.5499,18.5966,28.4376,178.2437,20.5946,,,,,30.7834,21.4643,21.9718,16.8634,31.5054,31.6228,,15.8623,,31.8329,,14.1421,30.9121,,,,,65.8281,28.9828,22.1654,,75.7491,132.1300,28.4059,12.1268,,,26.9258,,,,25.8199,50.7937,,21.4024,,46.5986,45.8258,44.0170,36.1033,39.0384,,,,,,32.6031,,141.7202,42.1079,,,52.3132,46.1764,,54.4059,42.8486,,,37.0551,,39.6003,31.9039,55.7184,1179.9388,,,,32.6088,,31.9482,44.3847,87.6839,,62.0538
1dd84937da,34.3370,,19.1311,,,29.3814,26.2969,,,36.3043,41.8015,,,,,39.4968,,,,,,19.4841,,,,,,27.5444,124.4304,34.3215,35.9077,,,,,,,35.0776,,23.5339,,23.9792,,,20.0000,45.5851,43.3974,62.2230,,,,11.9959,,,,,30.7778,22.7596,,55.8534,32.2380,45.9248,,,30.9121,,39.4575,,,,,,83.6660,29.6791,49.2502,38.8757,21.6646,,22.9033,,,50.0869,35.7201,,,27.3481,,,45.1086,45.9933,,59.4559,,,,,42.8309,22.5726,41.7395,,73.5935,,,,338.3785,45.9323
