unix_utc,GSR,IBT
1455103880.3,429.09260455538725,710.0
1455103880.9,431.39716794983804,650.0
1455103881.6,433.9807632490107,680.0000000000002
1455103882.3,436.5097734693589,640.0
1455103882.9,438.56291072580717,680.0000000000002
1455103883.6,440.9561160368396,640.0
1455103884.2,444.6025648907045,630.0
1455103884.9,446.29922699567015,650.0
1455103885.5,448.24961780589285,650.0
1455103886.2,449.7314267603112,650.0
1455103886.8,450.61287462752716,620.0
1455103887.4,452.018352997897,630.0
1455103888.0,453.4016647326998,630.0
1455103888.7,451.498028343425,650.0
1455103889.4,446.4785638335096,680.0000000000002
1455103890.0,444.0991148710085,640.0
1455103890.6,443.56721624915946,599.9999999999999
1455103891.2,444.36555668231836,610.0
1455103891.8,446.1199702922114,610.0
1455103892.4,446.95743636978517,620.0
1455103893.1,429.8718943687738,640.0
1455103893.8,388.9705687678598,740.0000000000001
1455103894.5,360.2907293008181,660.0
1455103895.2,348.6630152727158,740.0000000000001
1455103895.9,344.50105239595047,640.0
1455103897.2,337.2342345104405,800.0
1455103897.9,329.9078885616732,689.9999999999999
1455103898.5,328.07326089461174,620.0
1455103899.1,329.87522706352587,599.9999999999999
1455103900.4,340.47212846506176,760.0000000000001
1455103901.0,346.52472018032614,620.0
1455103901.6,353.46968275365884,610.0
1455103902.2,360.2115053417127,620.0
1455103902.8,366.10607453356454,610.0
1455103903.5,369.34114472536817,650.0
1455103904.1,370.76863084116883,589.9999999999999
1455103904.7,372.6027203082026,630.0
1455103905.3,374.81263635559515,630.0
1455103906.0,373.51070144202316,650.0
1455103906.6,371.7403357452976,650.0
1455103907.3,370.5419644813393,680.0000000000002
1455103908.0,370.0689012226434,680.0000000000002
1455103908.6,371.2849336235688,610.0
1455103910.0,375.46702160225647,650.0
1455103910.7,372.9465907289274,689.9999999999999
1455103911.3,371.926953546324,620.0
1455103912.0,373.1657098872253,660.0
1455103912.6,375.00239241944354,589.9999999999999
1455103913.2,375.5410837695378,610.0
1455103913.8,374.9391008666237,589.9999999999999
1455103914.4,370.00818484519743,630.0
1455103915.0,354.5425941356553,640.0
1455103915.7,342.30775567186953,660.0
1455103916.3,339.67392714793436,650.0
1455103917.0,341.37854360907625,680.0000000000002
1455103917.7,345.0894558230088,700.0000000000001
1455103918.4,348.18948720946435,689.9999999999999
1455103919.1,352.1624178415418,670.0000000000002
1455103919.8,357.3343642618712,680.0000000000002
1455103920.5,362.67053353052717,700.0000000000001
1455103921.1,367.2556289412643,689.9999999999999
1455103921.8,372.09313451965346,680.0000000000002
1455103922.5,376.39983371862814,650.0
1455103923.2,379.9393034889709,680.0000000000002
1455103923.9,381.3956073682142,710.0
1455103924.5,381.52657368823657,599.9999999999999
1455103925.1,382.3580634301371,670.0000000000002
1455103925.8,380.4817065348375,660.0
1455103926.5,365.66561122097323,720.0
1455103927.2,353.82598107848435,660.0
1455103927.9,350.80957935060263,720.0
1455103928.6,352.4602311109826,730.0
1455103929.2,355.96072602372396,610.0
1455103929.9,361.20661611124143,700.0000000000001
1455103930.6,366.4078934861623,650.0
1455103931.2,370.5008336114904,620.0
1455103931.9,374.85488600433837,680.0000000000002
1455103932.5,378.172043489924,660.0
1455103933.2,381.35191866948577,640.0
1455103933.8,383.7557499947261,650.0
1455103934.5,386.27941430663833,660.0
1455103935.1,388.078320722516,599.9999999999999
1455103935.8,390.3505936796006,670.0000000000002
1455103936.4,392.09546064918646,589.9999999999999
1455103937.0,393.64655711382255,610.0
1455103937.6,394.97602293484186,610.0
1455103938.2,396.99871243763124,620.0
1455103938.8,398.3509541695098,610.0
1455103939.4,399.5924286625715,620.0
1455103940.0,400.9142059092839,610.0
1455103940.7,402.3173830924335,660.0
1455103941.3,403.70612341305724,650.0
1455103942.0,405.3506822439546,680.0000000000002
1455103942.7,407.0584851246287,650.0
1455103943.4,408.1799807948606,689.9999999999999
1455103944.0,406.7853039754152,680.0000000000002
1455103944.8,404.02420447625883,730.0
1455103945.5,403.1689503731752,730.0
1455103946.2,403.55943082340747,670.0000000000002
