unix_utc,GSR,IBT
1455280966.3,2265.433625339304,1169.9999999999998
1455280966.9,2264.9959960110227,599.9999999999999
1455280968.2,2262.895015797062,1320.0
1455280969.9,2261.92764359166,770.0000000000001
1455280970.7,2260.794519977735,720.0
1455280971.5,2260.787804457533,839.9999999999999
1455280972.3,2258.2030376401776,760.0000000000001
1455280973.0,2257.307139059108,750.0
1455280973.8,2257.06642304492,760.0000000000001
1455280974.5,2256.345760096605,710.0
1455280975.1,2255.102112293413,620.0
1455280975.8,2256.114137260759,710.0
1455280976.5,2255.217192444526,650.0
1455280977.7,2252.898011310637,1240.0
1455280981.8,2246.887042657989,869.9999999999998
1455280983.6,2243.6714521880886,859.9999999999998
1455280984.3,2244.607068878985,750.0
1455280985.2,2245.498750263192,859.9999999999998
1455280986.0,2244.5802901408388,790.0000000000001
1455280986.7,2244.147584611322,770.0000000000001
1455280987.5,2244.351023222597,730.0
1455280988.2,2243.450855691879,760.0000000000001
1455280989.0,2242.9988827086413,770.0000000000001
1455280989.8,2239.994540249761,809.9999999999999
1455280990.6,2238.4013651246382,770.0000000000001
1455280991.3,2237.2820453845425,680.0000000000002
1455280991.8,2234.2923658086474,530.0
1455280992.7,2228.417718659616,650.0
1455280993.3,2226.5817670479432,570.0
1455280994.0,2220.512848221221,689.9999999999999
1455280994.8,2217.154405748539,539.9999999999999
1455280996.1,2223.225551566566,879.9999999999999
1455280996.9,2226.591850978581,790.0000000000001
1455280997.8,2225.672892788521,850.0
1455280998.5,2224.7985763868132,730.0
1455280999.2,2220.9507739945125,740.0000000000001
1455281000.0,2235.4251850570804,720.0
1455281000.8,2243.22628041606,830.0000000000002
1455281001.7,2247.358777398565,900.0
1455281003.6,2254.258292809369,940.0000000000001
1455281004.8,2255.881559521207,620.0
1455281006.0,2255.655645578709,750.0
1455281006.6,2257.55163359949,650.0
1455281007.2,2256.814735202655,550.0
1455281007.9,2256.374873973655,710.0
1455281008.6,2255.678067714821,710.0
1455281009.3,2254.723442407581,689.9999999999999
1455281009.9,2254.994606922497,650.0
1455281010.6,2256.578337836157,710.0
1455281011.5,2257.7524596344447,869.9999999999998
1455281012.3,2257.314778531211,820.0
1455281013.2,2257.9924656532057,859.9999999999998
1455281014.0,2258.434659002776,850.0
1455281014.9,2259.159698062525,850.0
1455281017.3,2261.4826729650713,800.0
1455281018.1,2261.50717977411,790.0000000000001
1455281018.9,2262.6374056963064,790.0000000000001
1455281019.7,2264.040582567073,800.0
1455281020.5,2263.605305565489,820.0
1455281021.4,2264.5182825089,869.9999999999998
1455281022.3,2266.601316644448,900.0
1455281023.2,2266.151649320319,890.0
1455281024.1,2265.94710918085,879.9999999999999
1455281024.9,2266.1487489088026,839.9999999999999
1455281025.8,2267.303864403116,850.0
1455281026.6,2267.340184675777,850.0
1455281027.4,2267.805340154881,830.0000000000002
1455281028.2,2268.710897994557,760.0000000000001
1455281029.0,2268.037917894433,820.0
1455281029.8,2268.743409674077,780.0
1455281036.2,2270.125704968833,809.9999999999999
1455281037.0,2269.926678224201,770.0000000000001
1455281037.8,2270.6063939330834,780.0
1455281038.6,2271.530794457916,839.9999999999999
1455281039.4,2270.512271960622,820.0
1455281040.2,2273.67598871495,790.0000000000001
1455281040.9,2274.592998383194,730.0
1455281041.7,2274.1577143257496,740.0000000000001
1455281042.4,2275.0786317173543,720.0
1455281043.2,2275.774791771113,790.0000000000001
1455281048.6,2275.343482761654,750.0
1455281049.4,2275.7880210760463,800.0
1455281050.2,2275.3013905743537,720.0
1455281050.9,2273.9241757651725,750.0
1455281051.6,2274.596909303462,710.0
1455281052.4,2273.90121818362,740.0000000000001
1455281053.1,2273.207946304198,750.0
