unix_utc,GSR,IBT
1455178097.3,656.9021705597727,660.0
1455178098.0,652.9441161189462,720.0
1455178098.7,653.744704240969,650.0
1455178099.4,653.0403016698872,730.0
1455178100.0,651.1904289808177,580.0
1455178100.6,652.337153441605,620.0
1455178101.3,652.0823261895089,670.0000000000002
1455178101.9,652.337153441605,630.0
1455178102.6,652.1460330025329,650.0
1455178103.2,651.826875257609,660.0
1455178103.9,652.337153441605,640.0
1455178104.5,652.5288982938863,670.0000000000002
1455178105.2,654.3220729160497,650.0
1455178105.7,655.2865810569925,560.0
1455178106.5,656.9656103882046,800.0
1455178107.2,657.6788818803943,630.0
1455178107.8,657.9383810079656,610.0
1455178108.4,658.1981366928078,660.0
1455178109.1,659.5003830226809,630.0
1455178109.7,662.12039608525,660.0
1455178110.4,664.6287632087635,670.0000000000002
1455178111.0,666.2230241518838,599.9999999999999
1455178111.6,668.561332571456,630.0
1455178112.3,671.1197043494191,680.0000000000002
1455178112.9,673.4235193732151,630.0
1455178113.6,675.2661226127367,630.0
1455178114.2,677.9434640633374,650.0
1455178114.8,679.395081607807,610.0
1455178115.5,681.1990238073424,620.0
1455178116.1,682.8746498659773,599.9999999999999
1455178116.7,684.9785389510109,620.0
1455178117.8,689.0143320722459,580.0
1455178118.4,689.5848763116544,620.0
1455178119.0,690.513100965074,599.9999999999999
1455178119.6,688.2320964591638,620.0
1455178120.3,684.1353436788971,650.0
1455178120.9,680.5739572256708,630.0
1455178121.5,677.2548928097152,620.0
1455178122.1,674.4459590429582,620.0
1455178122.8,669.2326025719028,640.0
1455178123.4,663.900816382649,630.0
1455178124.0,660.153310857301,599.9999999999999
1455178124.6,658.1986498073499,630.0
1455178125.2,654.9004494273902,599.9999999999999
1455178125.9,653.3605244440872,640.0
1455178126.5,652.9760944447705,610.0
1455178127.1,652.3379029574777,630.0
1455178127.8,653.6162883152781,660.0
1455178128.4,654.9979620565211,610.0
1455178129.1,656.9656103882046,670.0000000000002
1455178129.8,658.1343201621689,689.9999999999999
1455178130.5,658.7182888858054,750.0
1455178131.2,659.5663862058459,710.0
1455178131.9,658.9790727037913,720.0
1455178132.6,658.7184173543958,680.0000000000002
1455178133.3,660.2844145092722,689.9999999999999
1455178134.0,662.712645908226,689.9999999999999
1455178135.2,663.6361211219688,640.0
1455178135.8,662.054517893868,630.0
1455178136.4,661.4634431446998,620.0
1455178137.0,660.8077925641453,620.0
1455178137.7,661.3976957332102,650.0
1455178138.4,658.5887325962735,680.0000000000002
1455178139.1,657.6784976143525,740.0000000000001
1455178139.9,657.8739228941945,780.0
1455178140.6,660.2186682572275,730.0
1455178141.4,662.7786552700962,750.0
1455178142.1,666.0902136868582,760.0000000000001
1455178142.9,665.3582947001711,790.0000000000001
1455178143.6,666.1568848148606,730.0
1455178144.3,670.7809517859425,680.0000000000002
1455178145.0,667.9588837481891,720.0
1455178145.7,668.5610638675404,670.0000000000002
1455178146.4,669.2995403842082,670.0000000000002
1455178147.1,669.4339562557759,680.0000000000002
1455178147.8,668.7288810635763,700.0000000000001
