unix_utc,GSR,IBT
1455372846.6,1008.6433751921727,710.0
1455372847.2,1009.945501315916,610.0
1455372847.8,1011.9929685880893,640.0
1455372848.5,1014.5700251236842,620.0
1455372849.1,1016.0232667246539,650.0
1455372849.7,1017.817546172872,599.9999999999999
1455372850.3,1019.896313928141,620.0
1455372851.0,1020.943916704534,640.0
1455372851.6,1019.8019838998172,599.9999999999999
1455372852.2,1019.4727294923863,599.9999999999999
1455372852.8,1021.0839281474672,599.9999999999999
1455372853.3,1022.9907236878634,580.0
1455372853.9,1024.899697985656,589.9999999999999
1455372854.6,1026.099566396001,620.0
1455372855.2,1026.580279421072,610.0
1455372855.8,1028.166916575668,620.0
1455372856.4,1027.782175837669,599.9999999999999
1455372857.0,1022.3210317639999,599.9999999999999
1455372857.6,1021.703942217547,599.9999999999999
1455372858.2,1021.4638938956081,610.0
1455372858.8,1023.70658102083,589.9999999999999
1455372859.4,1027.683679274164,610.0
1455372860.0,1030.3897032236202,620.0
1455372860.7,1033.0061210721428,650.0
1455372861.3,1034.0321030099801,630.0
1455372862.0,1035.639599637741,680.0000000000002
1455372862.6,1035.9364864421138,599.9999999999999
1455372863.2,1038.1390370667662,630.0
1455372863.8,1039.814697611237,620.0
1455372864.5,1041.491203517644,630.0
1455372865.1,1042.6799576814149,610.0
1455372865.7,1043.9696492546848,599.9999999999999
1455372866.3,1045.1635518611333,599.9999999999999
1455372866.9,1044.9641728284453,630.0
1455372867.5,1033.4951209957792,599.9999999999999
1455372868.1,1021.513072022079,599.9999999999999
1455372868.7,1012.3681579655679,630.0
1455372869.3,1014.3350449926872,610.0
1455372869.9,1017.2496258092267,599.9999999999999
1455372870.6,1018.8106478006099,640.0
1455372871.2,1024.277228677268,640.0
1455372871.9,1029.3272890334802,670.0000000000002
1455372872.5,1031.3066086028516,589.9999999999999
1455372873.1,1032.135526966653,620.0
1455372873.7,1031.015800857286,620.0
1455372874.3,1016.7285973274679,630.0
1455372875.0,1007.671070821598,610.0
1455372875.6,1011.3202319940544,599.9999999999999
1455372876.2,1015.2720557065708,620.0
1455372876.8,1018.431914489386,650.0
1455372877.5,1021.180689390132,640.0
1455372878.1,1018.856077863431,650.0
1455372878.7,992.5825500914107,630.0
1455372879.4,998.8164031662333,640.0
1455372880.0,1002.562920933485,660.0
1455372880.7,1006.3759831638547,650.0
1455372881.3,1009.110675028496,640.0
1455372882.0,1012.6479874309038,640.0
1455372882.6,1015.039074808951,650.0
1455372883.2,1016.8723841815621,620.0
1455372883.9,1018.8555505022881,640.0
1455372884.5,1019.899443740972,650.0
1455372885.2,1012.974180777408,630.0
1455372885.8,1009.6216573752906,589.9999999999999
1455372886.4,1010.780617735546,620.0
1455372887.0,1011.3438440400278,610.0
1455372887.6,990.1169007000784,610.0
1455372888.2,992.1799790047756,599.9999999999999
1455372888.8,993.6143892332652,630.0
1455372889.5,998.6373614855985,650.0
1455372890.1,998.5903871894307,670.0000000000002
1455372890.8,999.317770402222,640.0
1455372891.4,998.9787465552248,650.0
1455372892.1,1000.7753943036753,650.0
1455372892.7,1002.6089066519496,640.0
1455372893.3,999.9545548518342,610.0
1455372893.9,994.834926264522,599.9999999999999
1455372894.6,982.8433816010356,620.0
1455372895.2,972.9951050387364,599.9999999999999
1455372895.8,978.3285751691832,599.9999999999999
1455372896.4,981.8346390302223,599.9999999999999
1455372897.0,989.1797708020586,610.0
1455372897.6,995.1053276844079,650.0
1455372898.3,991.7746893053876,640.0
1455372898.9,989.003071043068,689.9999999999999
1455372899.6,982.1417064033444,660.0
1455372900.3,985.4913953876628,660.0
1455372900.9,991.1935272085904,620.0
1455372901.5,994.650378952643,610.0
1455372902.1,982.6290300090268,620.0
1455372902.7,964.0986245085138,580.0
1455372903.3,936.2080560870488,589.9999999999999
1455372903.9,941.791190976957,599.9999999999999
1455372904.5,917.4550300094317,580.0
1455372905.1,882.0429397726759,589.9999999999999
1455372905.7,887.5759388215872,620.0
1455372906.3,889.6973426819045,620.0
1455372906.9,894.8527630025342,589.9999999999999
1455372907.5,894.0120892263025,589.9999999999999
1455372908.1,879.1116550826657,630.0
1455372908.7,881.3695782480023,599.9999999999999
1455372909.3,881.7617054667695,599.9999999999999
1455372909.9,882.9658909686842,610.0
1455372910.5,881.4072330453198,610.0
1455372911.1,878.6517383720003,599.9999999999999
1455372911.7,878.372405255871,599.9999999999999
1455372912.3,877.7730949155118,599.9999999999999
1455372912.9,874.0685590920061,620.0
1455372913.5,870.0455180429594,599.9999999999999
1455372914.2,870.2186635120677,610.0
1455372914.8,870.5641338426027,610.0
1455372915.4,870.1838207184668,630.0
1455372916.0,871.4288534588796,620.0
1455372916.6,871.7047443839223,620.0
1455372917.3,870.0471052222435,630.0
1455372917.9,870.1831363352472,650.0
1455372918.5,865.2098493709512,620.0
1455372919.1,859.7487822945817,610.0
1455372919.8,845.7651337916848,620.0
1455372920.4,835.4243817647505,640.0
1455372921.0,838.2983700079234,620.0
1455372921.6,840.5779982070404,610.0
1455372922.2,841.8043171187082,610.0
1455372922.9,841.8689788007684,620.0
1455372923.5,844.2651719797516,630.0
1455372924.1,845.3728117240026,610.0
1455372924.7,846.0230837484132,620.0
1455372925.4,843.5854196888432,640.0
1455372926.0,842.7407799094642,650.0
1455372926.7,845.307537356424,640.0
1455372927.3,846.3498538669594,620.0
1455372927.9,843.4552253478407,620.0
1455372928.5,835.7114424370062,650.0
1455372929.2,814.4598467922597,640.0
1455372929.8,790.2576440219102,620.0
1455372930.4,795.2116367164964,630.0
1455372931.1,799.5021190272362,640.0
1455372931.7,793.5146156449513,610.0
1455372932.3,787.1390034377738,620.0
1455372932.9,784.2113521461168,620.0
1455372933.5,782.674393283679,610.0
1455372934.1,780.7231602357248,589.9999999999999
1455372934.7,775.9748744963658,599.9999999999999
1455372935.3,762.3314335586825,599.9999999999999
1455372935.9,755.2200763238121,589.9999999999999
1455372936.5,757.9068168955445,599.9999999999999
1455372937.1,762.7552029922141,589.9999999999999
1455372937.7,765.069352287599,599.9999999999999
1455372938.4,765.8698078110385,670.0000000000002
1455372939.0,767.290918409424,650.0
1455372939.6,769.7930862010124,610.0
1455372940.2,771.2016795622328,610.0
1455372940.9,769.3613108233355,630.0
1455372941.5,764.2439537949684,589.9999999999999
1455372942.1,761.8539996229305,620.0
1455372942.7,759.1140646942157,620.0
1455372943.4,754.2848350654505,650.0
1455372944.0,745.8773823246031,640.0
1455372944.6,742.8935255371325,620.0
1455372945.2,743.8507368968781,630.0
1455372945.9,744.356182797995,660.0
1455372946.5,742.5913398919269,640.0
1455372947.2,740.112442793735,620.0
1455372947.8,742.0636944631192,620.0
1455372948.4,744.6721284237476,660.0
1455372949.1,747.2959384248232,630.0
1455372949.7,748.2146298593988,630.0
1455372950.3,747.4998461411752,630.0
1455372951.0,744.204328064891,630.0
1455372951.6,745.1643112227392,640.0
