unix_utc,GSR,IBT
1455367628.1,278.3278428836763,1110.0000000000002
1455367629.0,269.48367985674616,680.0000000000002
1455367629.8,274.04771022116995,850.0
1455367630.4,274.7819670429295,530.0
1455367631.1,278.8975180492431,689.9999999999999
1455367631.7,284.1999997005732,670.0000000000002
1455367632.4,288.854560849604,630.0
1455367633.3,278.7768084864116,970.0000000000001
1455367634.4,251.88918890489973,650.0
1455367635.1,255.97062540418426,650.0
1455367635.7,256.986837445491,650.0
1455367636.3,259.61898343461985,570.0
1455367636.9,263.7794486772084,640.0
1455367637.8,271.713454683798,839.9999999999999
1455367638.8,270.78718609237046,1060.0
1455367639.9,265.671297154666,1030.0
1455367640.5,265.628951784015,620.0
1455367641.0,266.55305846127214,520.0000000000001
1455367641.9,268.0222658556362,930.0
1455367642.5,242.02028793059705,580.0
1455367643.0,226.36001607447798,509.99999999999994
1455367646.2,240.9380397333638,879.9999999999999
1455367646.8,245.787894585104,539.9999999999999
1455367647.2,246.94407936686957,489.99999999999994
1455367647.9,246.85273588481832,680.0000000000002
1455367648.6,244.8400181952441,680.0000000000002
1455367649.2,246.95327876484242,580.0
1455367649.8,250.09386820820487,589.9999999999999
1455367650.4,252.48064384016465,589.9999999999999
1455367650.9,253.88445536946875,550.0
1455367651.5,254.6311407066296,570.0
1455367652.1,254.2814793214042,589.9999999999999
1455367652.7,249.4406614511483,620.0
1455367655.3,249.2338100674036,750.0
1455367655.9,253.2095259583037,589.9999999999999
1455367657.2,258.66201537114017,1260.0
1455367658.1,258.92315468097627,910.0000000000001
1455367659.0,260.2168973368713,620.0
1455367659.9,261.86264146306047,910.0000000000001
1455367661.1,233.71589999328185,1199.9999999999998
1455367661.8,230.96313947133564,680.0000000000002
1455367662.4,229.2395307662463,650.0
1455367663.1,234.0115560455925,630.0
1455367663.7,240.08758514995014,660.0
1455367664.5,246.28749709798092,720.0
1455367665.1,249.86891153094712,640.0
1455367665.7,252.19410300657736,640.0
1455367666.3,252.65290433664737,610.0
1455367667.0,250.81841009002002,630.0
1455367670.8,256.88781988864713,1230.0
1455367671.6,248.3244950528883,780.0
1455367672.2,234.8210772822741,599.9999999999999
1455367672.9,226.6212177966969,720.0
1455367673.5,229.78496367782918,560.0
1455367674.1,236.1752197476488,620.0
1455367674.8,243.0460331313687,660.0
1455367675.4,244.75919517868232,660.0
1455367676.1,241.05539471397307,689.9999999999999
1455367676.7,232.55140866455628,599.9999999999999
1455367677.4,226.23283344077652,630.0
1455367678.0,228.5951963046373,660.0
1455367678.7,234.81927039163662,680.0000000000002
1455367679.3,239.2603581266278,640.0
1455367680.0,243.2143994481696,620.0
1455367683.2,250.67684161109818,620.0
1455367683.8,251.13010534185574,630.0
1455367684.5,248.5460459330442,620.0
1455367685.1,248.41639960552345,610.0
1455367685.7,250.0093855478781,680.0000000000002
1455367686.3,251.5593048151556,570.0
1455367686.9,253.2767978014817,610.0
1455367687.6,254.91347029829222,670.0000000000002
1455367688.2,255.489863781368,650.0
1455367689.5,246.09692986678692,1289.9999999999998
1455367690.1,243.36525766220933,599.9999999999999
1455367691.4,248.6110004212524,1280.0
1455367692.1,252.68170272503122,650.0
1455367692.7,254.91350757697842,680.0000000000002
1455367693.3,256.61097163665704,599.9999999999999
1455367694.0,258.01127402105504,620.0
1455367694.7,259.46732500334906,689.9999999999999
1455367695.3,260.84804924742383,620.0
1455367695.9,261.4208306113631,580.0
1455367696.5,261.48235507018853,610.0
1455367697.2,259.5178961470896,720.0
